pay_grade,enlisted,branch,status,count
1,E,MarineCorps,single withchildren male,54
1,E,MarineCorps,single withchildren female,3
1,E,MarineCorps,married jointservice male,20
1,E,MarineCorps,married jointservice female,19
1,E,MarineCorps,married civilian female,611
1,E,MarineCorps,married civilian male,21
2,E,MarineCorps,single withoutchildren male,15916
2,E,MarineCorps,single withoutchildren female,1336
2,E,MarineCorps,single withchildren male,190
2,E,MarineCorps,single withchildren female,12
2,E,MarineCorps,married jointservice male,98
2,E,MarineCorps,married jointservice female,109
2,E,MarineCorps,married civilian female,2399
2,E,MarineCorps,married civilian male,96
3,E,MarineCorps,single withoutchildren male,34868
3,E,MarineCorps,single withoutchildren female,1864
3,E,MarineCorps,single withchildren male,574
3,E,MarineCorps,single withchildren female,167
3,E,MarineCorps,married jointservice male,780
3,E,MarineCorps,married jointservice female,928
3,E,MarineCorps,married civilian female,14643
3,E,MarineCorps,married civilian male,344
4,E,MarineCorps,single withoutchildren male,17862
4,E,MarineCorps,single withoutchildren female,1026
4,E,MarineCorps,single withchildren male,527
4,E,MarineCorps,single withchildren female,272
4,E,MarineCorps,married jointservice male,1070
4,E,MarineCorps,married jointservice female,944
4,E,MarineCorps,married civilian female,15599
4,E,MarineCorps,married civilian male,414
5,E,MarineCorps,single withoutchildren male,7490
5,E,MarineCorps,single withoutchildren female,590
5,E,MarineCorps,single withchildren male,931
5,E,MarineCorps,single withchildren female,338
5,E,MarineCorps,married jointservice male,1199
5,E,MarineCorps,married jointservice female,730
5,E,MarineCorps,married civilian female,17921
5,E,MarineCorps,married civilian male,344
6,E,MarineCorps,single withoutchildren male,2051
6,E,MarineCorps,single withoutchildren female,208
6,E,MarineCorps,single withchildren male,1060
6,E,MarineCorps,single withchildren female,226
6,E,MarineCorps,married jointservice male,568
6,E,MarineCorps,married jointservice female,341
6,E,MarineCorps,married civilian female,12005
6,E,MarineCorps,married civilian male,221
7,E,MarineCorps,single withoutchildren male,565
7,E,MarineCorps,single withoutchildren female,72
7,E,MarineCorps,single withchildren male,622
7,E,MarineCorps,single withchildren female,119
7,E,MarineCorps,married jointservice male,308
7,E,MarineCorps,married jointservice female,185
7,E,MarineCorps,married civilian female,6970
7,E,MarineCorps,married civilian male,120
8,E,MarineCorps,single withoutchildren male,148
8,E,MarineCorps,single withoutchildren female,21
8,E,MarineCorps,single withchildren male,270
8,E,MarineCorps,single withchildren female,42
8,E,MarineCorps,married jointservice male,115
8,E,MarineCorps,married jointservice female,66
8,E,MarineCorps,married civilian female,3268
8,E,MarineCorps,married civilian male,73
9,E,MarineCorps,single withoutchildren male,68
9,E,MarineCorps,single withoutchildren female,10
9,E,MarineCorps,single withchildren male,106
9,E,MarineCorps,single withchildren female,20
9,E,MarineCorps,married jointservice male,42
9,E,MarineCorps,married jointservice female,10
9,E,MarineCorps,married civilian female,1340
9,E,MarineCorps,married civilian male,21
1,O,MarineCorps,single withoutchildren male,2227
1,O,MarineCorps,single withoutchildren female,204
1,O,MarineCorps,single withchildren male,26
1,O,MarineCorps,single withchildren female,5
1,O,MarineCorps,married jointservice male,35
1,O,MarineCorps,married jointservice female,53
1,O,MarineCorps,married civilian female,1006
1,O,MarineCorps,married civilian male,23
2,O,MarineCorps,single withoutchildren male,1509
2,O,MarineCorps,single withoutchildren female,133
2,O,MarineCorps,single withchildren male,29
2,O,MarineCorps,single withchildren female,8
2,O,MarineCorps,married jointservice male,81
2,O,MarineCorps,married jointservice female,53
2,O,MarineCorps,married civilian female,1330
2,O,MarineCorps,married civilian male,20
3,O,MarineCorps,single withoutchildren male,1510
3,O,MarineCorps,single withoutchildren female,200
3,O,MarineCorps,single withchildren male,110
3,O,MarineCorps,single withchildren female,14
3,O,MarineCorps,married jointservice male,189
3,O,MarineCorps,married jointservice female,133
3,O,MarineCorps,married civilian female,3892
3,O,MarineCorps,married civilian male,52
4,O,MarineCorps,single withoutchildren male,319
4,O,MarineCorps,single withoutchildren female,62
4,O,MarineCorps,single withchildren male,127
4,O,MarineCorps,single withchildren female,12
4,O,MarineCorps,married jointservice male,93
4,O,MarineCorps,married jointservice female,42
4,O,MarineCorps,married civilian female,3121
4,O,MarineCorps,married civilian male,48
5,O,MarineCorps,single withoutchildren male,76
5,O,MarineCorps,single withoutchildren female,7
5,O,MarineCorps,single withchildren male,55
5,O,MarineCorps,single withchildren female,2
5,O,MarineCorps,married jointservice male,37
5,O,MarineCorps,married jointservice female,10
5,O,MarineCorps,married civilian female,1704
5,O,MarineCorps,married civilian male,20
6,O,MarineCorps,single withoutchildren male,23
6,O,MarineCorps,single withoutchildren female,7
6,O,MarineCorps,single withchildren male,17
6,O,MarineCorps,single withchildren female,1
6,O,MarineCorps,married jointservice male,10
6,O,MarineCorps,married jointservice female,2
6,O,MarineCorps,married civilian female,623
6,O,MarineCorps,married civilian male,12
7,O,MarineCorps,single withoutchildren male,2
7,O,MarineCorps,single withoutchildren female,1
7,O,MarineCorps,single withchildren male,1
7,O,MarineCorps,single withchildren female,0
7,O,MarineCorps,married jointservice male,1
7,O,MarineCorps,married jointservice female,0
7,O,MarineCorps,married civilian female,36
7,O,MarineCorps,married civilian male,0
8,O,MarineCorps,single withoutchildren male,0
8,O,MarineCorps,single withoutchildren female,0
8,O,MarineCorps,single withchildren male,0
8,O,MarineCorps,single withchildren female,0
8,O,MarineCorps,married jointservice male,0
8,O,MarineCorps,married jointservice female,0
8,O,MarineCorps,married civilian female,23
8,O,MarineCorps,married civilian male,1
9,O,MarineCorps,single withoutchildren male,0
9,O,MarineCorps,single withoutchildren female,0
9,O,MarineCorps,single withchildren male,0
9,O,MarineCorps,single withchildren female,0
9,O,MarineCorps,married jointservice male,0
9,O,MarineCorps,married jointservice female,0
9,O,MarineCorps,married civilian female,16
9,O,MarineCorps,married civilian male,0
10,O,MarineCorps,single withoutchildren male,1
10,O,MarineCorps,single withoutchildren female,0
10,O,MarineCorps,single withchildren male,0
10,O,MarineCorps,single withchildren female,0
10,O,MarineCorps,married jointservice male,0
10,O,MarineCorps,married jointservice female,0
10,O,MarineCorps,married civilian female,3
10,O,MarineCorps,married civilian male,0
1,W,MarineCorps,single withoutchildren male,26
1,W,MarineCorps,single withoutchildren female,3
1,W,MarineCorps,single withchildren male,20
1,W,MarineCorps,single withchildren female,7
1,W,MarineCorps,married jointservice male,25
1,W,MarineCorps,married jointservice female,12
1,W,MarineCorps,married civilian female,386
1,W,MarineCorps,married civilian male,5
2,W,MarineCorps,single withoutchildren male,30
2,W,MarineCorps,single withoutchildren female,3
2,W,MarineCorps,single withchildren male,38
2,W,MarineCorps,single withchildren female,2
2,W,MarineCorps,married jointservice male,26
2,W,MarineCorps,married jointservice female,17
2,W,MarineCorps,married civilian female,607
2,W,MarineCorps,married civilian male,6
3,W,MarineCorps,single withoutchildren male,17
3,W,MarineCorps,single withoutchildren female,5
3,W,MarineCorps,single withchildren male,30
3,W,MarineCorps,single withchildren female,10
3,W,MarineCorps,married jointservice male,16
3,W,MarineCorps,married jointservice female,16
3,W,MarineCorps,married civilian female,390
3,W,MarineCorps,married civilian male,12
4,W,MarineCorps,single withoutchildren male,6
4,W,MarineCorps,single withoutchildren female,0
4,W,MarineCorps,single withchildren male,17
4,W,MarineCorps,single withchildren female,2
4,W,MarineCorps,married jointservice male,6
4,W,MarineCorps,married jointservice female,5
4,W,MarineCorps,married civilian female,250
4,W,MarineCorps,married civilian male,3
5,W,MarineCorps,single withoutchildren male,3
5,W,MarineCorps,single withoutchildren female,3
5,W,MarineCorps,single withchildren male,3
5,W,MarineCorps,single withchildren female,1
5,W,MarineCorps,married jointservice male,0
5,W,MarineCorps,married jointservice female,1
5,W,MarineCorps,married civilian female,90
5,W,MarineCorps,married civilian male,2
1,E,Navy,single withoutchildren male,7820
1,E,Navy,single withoutchildren female,2275
1,E,Navy,single withchildren male,117
1,E,Navy,single withchildren female,34
1,E,Navy,married jointservice male,30
1,E,Navy,married jointservice female,57
1,E,Navy,married civilian female,806
1,E,Navy,married civilian male,162
2,E,Navy,single withoutchildren male,11198
2,E,Navy,single withoutchildren female,2718
2,E,Navy,single withchildren male,237
2,E,Navy,single withchildren female,87
2,E,Navy,married jointservice male,113
2,E,Navy,married jointservice female,164
2,E,Navy,married civilian female,2474
2,E,Navy,married civilian male,388
3,E,Navy,single withoutchildren male,28163
3,E,Navy,single withoutchildren female,6396
3,E,Navy,single withchildren male,681
3,E,Navy,single withchildren female,788
3,E,Navy,married jointservice male,861
3,E,Navy,married jointservice female,1288
3,E,Navy,married civilian female,11297
3,E,Navy,married civilian male,1791
4,E,Navy,single withoutchildren male,23285
4,E,Navy,single withoutchildren female,4266
4,E,Navy,single withchildren male,967
4,E,Navy,single withchildren female,949
4,E,Navy,married jointservice male,1526
4,E,Navy,married jointservice female,1691
4,E,Navy,married civilian female,16277
4,E,Navy,married civilian male,1768
5,E,Navy,single withoutchildren male,18856
5,E,Navy,single withoutchildren female,3649
5,E,Navy,single withchildren male,2837
5,E,Navy,single withchildren female,1787
5,E,Navy,married jointservice male,2191
5,E,Navy,married jointservice female,2099
5,E,Navy,married civilian female,31491
5,E,Navy,married civilian male,2272
6,E,Navy,single withoutchildren male,5917
6,E,Navy,single withoutchildren female,1429
6,E,Navy,single withchildren male,2725
6,E,Navy,single withchildren female,1284
6,E,Navy,married jointservice male,1654
6,E,Navy,married jointservice female,1461
6,E,Navy,married civilian female,30404
6,E,Navy,married civilian male,1561
7,E,Navy,single withoutchildren male,1294
7,E,Navy,single withoutchildren female,395
7,E,Navy,single withchildren male,1371
7,E,Navy,single withchildren female,382
7,E,Navy,married jointservice male,759
7,E,Navy,married jointservice female,506
7,E,Navy,married civilian female,16449
7,E,Navy,married civilian male,527
8,E,Navy,single withoutchildren male,219
8,E,Navy,single withoutchildren female,84
8,E,Navy,single withchildren male,329
8,E,Navy,single withchildren female,70
8,E,Navy,married jointservice male,186
8,E,Navy,married jointservice female,66
8,E,Navy,married civilian female,4935
8,E,Navy,married civilian male,146
9,E,Navy,single withoutchildren male,96
9,E,Navy,single withoutchildren female,56
9,E,Navy,single withchildren male,118
9,E,Navy,single withchildren female,21
9,E,Navy,married jointservice male,54
9,E,Navy,married jointservice female,16
9,E,Navy,married civilian female,2171
9,E,Navy,married civilian male,57
1,O,Navy,single withoutchildren male,3529
1,O,Navy,single withoutchildren female,911
1,O,Navy,single withchildren male,83
1,O,Navy,single withchildren female,50
1,O,Navy,married jointservice male,108
1,O,Navy,married jointservice female,158
1,O,Navy,married civilian female,1864
1,O,Navy,married civilian male,201
2,O,Navy,single withoutchildren male,2358
2,O,Navy,single withoutchildren female,664
2,O,Navy,single withchildren male,98
2,O,Navy,single withchildren female,54
2,O,Navy,married jointservice male,163
2,O,Navy,married jointservice female,220
2,O,Navy,married civilian female,2519
2,O,Navy,married civilian male,263
3,O,Navy,single withoutchildren male,3263
3,O,Navy,single withoutchildren female,1177
3,O,Navy,single withchildren male,338
3,O,Navy,single withchildren female,158
3,O,Navy,married jointservice male,450
3,O,Navy,married jointservice female,556
3,O,Navy,married civilian female,9436
3,O,Navy,married civilian male,806
4,O,Navy,single withoutchildren male,862
4,O,Navy,single withoutchildren female,380
4,O,Navy,single withchildren male,274
4,O,Navy,single withchildren female,108
4,O,Navy,married jointservice male,282
4,O,Navy,married jointservice female,310
4,O,Navy,married civilian female,7413
4,O,Navy,married civilian male,569
5,O,Navy,single withoutchildren male,344
5,O,Navy,single withoutchildren female,209
5,O,Navy,single withchildren male,168
5,O,Navy,single withchildren female,43
5,O,Navy,married jointservice male,147
5,O,Navy,married jointservice female,179
5,O,Navy,married civilian female,5395
5,O,Navy,married civilian male,415
6,O,Navy,single withoutchildren male,99
6,O,Navy,single withoutchildren female,112
6,O,Navy,single withchildren male,74
6,O,Navy,single withchildren female,31
6,O,Navy,married jointservice male,58
6,O,Navy,married jointservice female,48
6,O,Navy,married civilian female,2700
6,O,Navy,married civilian male,215
7,O,Navy,single withoutchildren male,1
7,O,Navy,single withoutchildren female,0
7,O,Navy,single withchildren male,2
7,O,Navy,single withchildren female,0
7,O,Navy,married jointservice male,1
7,O,Navy,married jointservice female,0
7,O,Navy,married civilian female,107
7,O,Navy,married civilian male,9
8,O,Navy,single withoutchildren male,2
8,O,Navy,single withoutchildren female,3
8,O,Navy,single withchildren male,0
8,O,Navy,single withchildren female,0
8,O,Navy,married jointservice male,1
8,O,Navy,married jointservice female,0
8,O,Navy,married civilian female,64
8,O,Navy,married civilian male,4
9,O,Navy,single withoutchildren male,0
9,O,Navy,single withoutchildren female,1
9,O,Navy,single withchildren male,1
9,O,Navy,single withchildren female,0
9,O,Navy,married jointservice male,0
9,O,Navy,married jointservice female,0
9,O,Navy,married civilian female,41
9,O,Navy,married civilian male,0
10,O,Navy,single withoutchildren male,0
10,O,Navy,single withoutchildren female,0
10,O,Navy,single withchildren male,0
10,O,Navy,single withchildren female,0
10,O,Navy,married jointservice male,0
10,O,Navy,married jointservice female,0
10,O,Navy,married civilian female,10
10,O,Navy,married civilian male,0
2,W,Navy,single withoutchildren male,19
2,W,Navy,single withoutchildren female,10
2,W,Navy,single withchildren male,27
2,W,Navy,single withchildren female,4
2,W,Navy,married jointservice male,22
2,W,Navy,married jointservice female,6
2,W,Navy,married civilian female,418
2,W,Navy,married civilian male,6
3,W,Navy,single withoutchildren male,13
3,W,Navy,single withoutchildren female,14
3,W,Navy,single withchildren male,33
3,W,Navy,single withchildren female,6
3,W,Navy,married jointservice male,21
3,W,Navy,married jointservice female,6
3,W,Navy,married civilian female,578
3,W,Navy,married civilian male,10
4,W,Navy,single withoutchildren male,9
4,W,Navy,single withoutchildren female,8
4,W,Navy,single withchildren male,25
4,W,Navy,single withchildren female,3
4,W,Navy,married jointservice male,11
4,W,Navy,married jointservice female,1
4,W,Navy,married civilian female,350
4,W,Navy,married civilian male,4
5,W,Navy,single withoutchildren male,2
5,W,Navy,single withoutchildren female,0
5,W,Navy,single withchildren male,1
5,W,Navy,single withchildren female,0
5,W,Navy,married jointservice male,0
5,W,Navy,married jointservice female,0
5,W,Navy,married civilian female,56
5,W,Navy,married civilian male,1
1,E,Army,single withoutchildren male,9456
